Jurisdiction,Effective Date,Minimum Wage,Note
Alberta,9/1/2013,$9.95 ,
Alberta,9/1/2012,$9.75 ,
Alberta,9/1/2011,$9.40 ,
Alberta,4/1/2009,$8.80 ,
Alberta,4/1/2008,$8.40 ,
Alberta,9/1/2007,$8.00 ,
Alberta,9/1/2005,$7.00 ,
Alberta,10/1/1999,$5.90 ,
Alberta,4/1/1999,$5.65 ,
Alberta,10/1/1998,$5.40 ,
Alberta,4/1/1992,$5.00 ,
Alberta,9/1/1988,$4.50 ,
Alberta,5/1/1981,$3.80 ,
Alberta,5/1/1980,$3.50 ,
Alberta,3/1/1977,$3.00 ,
Alberta,3/1/1976,$2.75 ,
Alberta,7/1/1975,$2.50 ,
Alberta,1/1/1975,$2.25 ,
Alberta,4/1/1974,$2.00 ,
Alberta,10/1/1973,$1.90 ,
Alberta,1/1/1973,$1.75 ,
Alberta,10/1/1970,$1.55 ,
Alberta,4/1/1970,$1.40 ,
Alberta,1/1/1968,$1.25 ,
Alberta,8/1/1967,$1.15 ,
Alberta,7/1/1966,$1.00 ,Applicable in all regions of the province.
Alberta,1/1/1965,$1.00 ,"Urban centres over 5,000 population. (Existing rate as of January 1, 1965.)"
Alberta,1/1/1965,$0.95 ,"Non-Urban areas. (Existing rate as of January 1, 1965)"
Prince Edward Island,4/1/2012,$10.00 ,
Prince Edward Island,10/1/2011,$9.60 ,
Prince Edward Island,6/1/2011,$9.30 ,
Prince Edward Island,10/1/2010,$9.00 ,
Prince Edward Island,6/1/2010,$8.70 ,
Prince Edward Island,10/1/2009,$8.40 ,
Prince Edward Island,6/1/2009,$8.20 ,
Prince Edward Island,10/1/2008,$8.00 ,
Prince Edward Island,5/1/2008,$7.75 ,
Prince Edward Island,4/1/2007,$7.50 ,
Prince Edward Island,4/1/2006,$7.15 ,
Prince Edward Island,1/1/2005,$6.80 ,
Prince Edward Island,1/1/2004,$6.50 ,
Prince Edward Island,1/1/2003,$6.25 ,
Prince Edward Island,1/1/2002,$6.00 ,
Prince Edward Island,1/1/2001,$5.80 ,
Prince Edward Island,1/1/2000,$5.60 ,
Prince Edward Island,9/1/1997,$5.40 ,
Prince Edward Island,9/1/1996,$5.15 ,
Prince Edward Island,4/1/1991,$4.75 ,
Prince Edward Island,4/1/1989,$4.50 ,
Prince Edward Island,10/1/1988,$4.25 ,
Prince Edward Island,10/1/1985,$4.00 ,
Prince Edward Island,10/1/1982,$3.75 ,
Prince Edward Island,7/1/1981,$3.30 ,
Prince Edward Island,7/1/1980,$3.00 ,
Prince Edward Island,11/26/1978,$2.75 ,
Prince Edward Island,7/1/1977,$2.70 ,
Prince Edward Island,7/1/1976,$2.50 ,
Prince Edward Island,10/1/1975,$2.30 ,
Prince Edward Island,1/1/1975,$2.05 ,
Prince Edward Island,7/1/1974,$1.75 ,
Prince Edward Island,1/1/1974,$1.65 ,
Prince Edward Island,7/1/1973,$1.40 ,Men.
Prince Edward Island,7/1/1973,$1.30 ,Women.
Prince Edward Island,7/1/1972,$1.10 ,Women.
Prince Edward Island,9/1/1969,$1.25 ,Men.
Prince Edward Island,7/1/1969,$0.95 ,Women.
Prince Edward Island,1/1/1969,$0.85 ,Women.
Prince Edward Island,7/1/1968,$0.80 ,Women.
Prince Edward Island,4/16/1966,$1.10 ,Men.
Prince Edward Island,1/1/1965,$1.00 ,"Men. Existing rate as of January 1, 1965"
Quebec,5/1/2013,$10.15 ,
Quebec,5/1/2012,$9.90 ,
Quebec,5/1/2011,$9.65 ,
Quebec,5/1/2010,$9.50 ,
Quebec,5/1/2008,$8.50 ,
Quebec,5/1/2007,$8.00 ,
Quebec,5/1/2006,$7.75 ,
Quebec,5/1/2005,$7.60 ,
Quebec,5/1/2004,$7.45 ,
Quebec,2/1/2003,$7.30 ,
Quebec,10/1/2002,$7.20 ,
Quebec,2/1/2001,$7.00 ,
Quebec,10/1/1998,$6.90 ,
Quebec,10/1/1997,$6.80 ,
Quebec,10/1/1996,$6.70 ,
Quebec,10/1/1995,$6.45 ,
Quebec,10/1/1994,$6.00 ,
Quebec,10/1/1993,$5.85 ,
Quebec,10/1/1992,$5.70 ,
Quebec,10/1/1991,$5.55 ,
Quebec,10/1/1990,$5.30 ,
Quebec,10/1/1989,$5.00 ,
Quebec,10/1/1988,$4.75 ,
Quebec,10/1/1987,$4.55 ,
Quebec,10/1/1986,$4.35 ,
Quebec,10/1/1981,$4.00 ,
Quebec,4/1/1981,$3.85 ,
Quebec,4/1/1980,$3.65 ,
Quebec,4/1/1979,$3.47 ,
Quebec,10/1/1978,$3.37 ,
Quebec,1/1/1978,$3.27 ,
Quebec,7/1/1977,$3.15 ,
Quebec,1/1/1977,$3.00 ,
Quebec,7/1/1976,$2.87 ,
Quebec,12/1/1975,$2.80 ,
Quebec,6/1/1975,$2.60 ,
Quebec,11/1/1974,$2.30 ,
Quebec,5/1/1974,$2.10 ,
Quebec,11/1/1973,$1.85 ,
Quebec,5/1/1973,$1.70 ,
Quebec,11/1/1972,$1.65 ,
Quebec,8/1/1972,$1.60 ,
Quebec,11/1/1971,$1.50 ,
Quebec,5/1/1971,$1.45 ,
Quebec,11/1/1970,$1.40 ,"Montreal metropolitan area. The rate outside the Montreal metropolitan area was set at $1.35 on November 1, 1970."
Quebec,5/1/1970,$1.35 ,"Montreal metropolitan area. The rate outside the Montreal metropolitan area was set at $1.30 on May 1, 1970."
Quebec,11/1/1968,$1.25 ,"Montreal metropolitan area. The rate outside the Montreal metropolitan area was set at $1.15 on November 1, 1968."
Quebec,4/1/1967,$1.05 ,"Montreal metropolitan area. The rate outside the Montreal metropolitan area was set at $1.00 on April 1, 1967."
Quebec,11/1/1966,$1.00 ,"Montreal metropolitan area. The rate outside the Montreal metropolitan area was set at $0.90 on November 1, 1966."
Quebec,10/1/1965,$0.85 ,"Montreal metropolitan area. The rate outside the Montreal metropolitan area was set at $0.80 on October 1, 1965."
Quebec,1/1/1965,$0.70 ,"Montreal metropolitan area. The rate outside the Montreal metropolitan area was $0.64 on January 1, 1965."
Saskatchewan,12/1/2012,$10.00 ,
Saskatchewan,9/1/2011,$9.50 ,
Saskatchewan,5/1/2009,$9.25 ,
Saskatchewan,5/1/2008,$8.60 ,
Saskatchewan,1/1/2008,$8.25 ,
Saskatchewan,3/1/2007,$7.95 ,
Saskatchewan,3/1/2006,$7.55 ,
Saskatchewan,9/1/2005,$7.05 ,
Saskatchewan,11/1/2002,$6.65 ,
Saskatchewan,5/1/2002,$6.35 ,
Saskatchewan,1/1/1999,$6.00 ,
Saskatchewan,12/1/1996,$5.60 ,
Saskatchewan,12/1/1992,$5.35 ,
Saskatchewan,7/1/1990,$5.00 ,
Saskatchewan,1/1/1990,$4.75 ,
Saskatchewan,8/1/1985,$4.50 ,
Saskatchewan,1/1/1982,$4.25 ,
Saskatchewan,7/1/1981,$4.00 ,
Saskatchewan,1/1/1981,$3.85 ,
Saskatchewan,5/1/1980,$3.65 ,
Saskatchewan,10/1/1979,$3.50 ,
Saskatchewan,6/30/1978,$3.25 ,
Saskatchewan,1/31/1978,$3.15 ,
Saskatchewan,1/1/1977,$3.00 ,
Saskatchewan,1/1/1976,$2.80 ,
Saskatchewan,3/31/1975,$2.50 ,
Saskatchewan,7/2/1974,$2.25 ,
Saskatchewan,12/1/1973,$2.00 ,
Saskatchewan,7/1/1972,$1.75 ,
Saskatchewan,1/2/1972,$1.70 ,
Saskatchewan,6/1/1971,$1.50 ,"Metropolitan areas (Estevan, Melville, Moose Jaw, North Battleford, Prince Albert, Regina, Saskatoon, Swift Current, Weyburn and Yorktown). The rate outside metropolitan areas was set at $0.10 less."
Saskatchewan,10/1/1969,$1.25 ,"Metropolitan areas (Estevan, Melville, Moose Jaw, North Battleford, Prince Albert, Regina, Saskatoon, Swift Current, Weyburn and Yorktown). The rate outside metropolitan areas was set at $0.10 less."
Saskatchewan,10/1/1968,$1.05 ,"Metropolitan areas (Estevan, Melville, Moose Jaw, North Battleford, Prince Albert, Regina, Saskatoon, Swift Current, Weyburn and Yorktown). The rate outside metropolitan areas was set at $0.10 less."
Saskatchewan,9/1/1966,$40.00 ,"Weekly. Metropolitan areas (Estevan, Melville, Moose Jaw, North Battleford, Prince Albert, Regina, Saskatoon, Swift Current, Weyburn and Yorktown). The rate outside metropolitan areas was set at $2.00 less per week."
Saskatchewan,5/1/1965,$38.00 ,"Weekly. Metropolitan areas (Estevan, Melville, Moose Jaw, North Battleford, Prince Albert, Regina, Saskatoon, Swift Current, Weyburn and Yorktown). The rate outside metropolitan areas was set at $2.00 less per week."
Saskatchewan,1/1/1965,$36.50 ,"Weekly. Metropolitan areas (Estevan, Melville, Moose Jaw, North Battleford, Prince Albert, Regina, Saskatoon, Swift Current, Weyburn and Yorktown). The rate outside metropolitan areas was set at $2.00 less per week."
Yukon,4/1/2013,$10.54 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,5/1/2012,$10.30 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,4/1/2012,$9.27 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,4/1/2011,$9.00 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,4/1/2010,$8.93 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,4/1/2009,$8.89 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,4/1/2008,$8.58 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,4/1/2007,$8.37 ,"On April 1 of each year, this rate increases by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,5/1/2006,$8.25 ,"Effective April 1, 2007, and on April 1 of each subsequent year, this rate will increase by an amount corresponding to the annual increase for the preceding year in the Consumer Price Index for the city of Whitehorse."
Yukon,10/1/1998,$7.20 ,
Yukon,4/1/1998,$7.06 ,
Yukon,10/1/1995,$6.86 ,
Yukon,10/1/1994,$6.72 ,
Yukon,4/1/1991,$6.24 ,
Yukon,4/1/1990,$5.97 ,
Yukon,5/1/1988,$5.39 ,
Yukon,5/1/1987,$4.75 ,
Yukon,1/1/1985,$4.25 ,
Yukon,5/1/1981,$3.60 ,Federal rate plus ten cents
Yukon,12/1/1980,$3.35 ,Federal rate plus ten cents
